nonstate_grad	others	state_grad	state_teach	state_total	state_ugrad	count	year
				1,375	1,375	1,375	Fall 1919
				1,934	1,934	1,934	Fall 1920
				2,609	2,609	2,609	Fall 1921
				3,257	3,257	3,257	Fall 1922
				4,044	4,044	4,044	Fall 1923
				5,032	5,032	5,032	Fall 1924
				5,736	5,736	5,736	Fall 1925
				5,933	5,933	5,933	Fall 1926
				6,011	6,011	6,011	Fall 1927
				5,859	5,859	5,859	Fall 1928
				5,544	5,544	5,544	Fall 1929
				5,733	5,733	5,733	Fall 1930
				6,106	6,106	6,106	Fall 1931
		90		6,410	6,320	6,410	Fall 1932
		130		6,060	5,930	6,060	Fall 1933
		231		6,107	5,876	6,107	Fall 1934
		275		6,362	6,087	6,362	Fall 1935
		324		6,935	6,611	6,935	Fall 1936
		404		7,088	6,684	7,088	Fall 1937
		499		7,911	7,412	7,911	Fall 1938
		877		8,522	7,645	8,522	Fall 1939
		1,008		9,043	8,035	9,043	Fall 1940
		814		8,012	7,198	8,012	Fall 1941
		448		6,345	5,897	6,345	Fall 1942
		388		4,482	4,094	4,482	Fall 1943
		433		5,056	4,623	5,056	Fall 1944
		671		6,928	6,257	6,928	Fall 1945
		1,290		13,799	12,509	13,799	Fall 1946
		1,686		14,391	12,705	14,391	Fall 1947
		2,236		14,560	12,324	14,560	Fall 1948
		2,916		14,995	12,079	14,995	Fall 1949
		3,178		14,318	11,140	14,318	Fall 1950
		3,205		13,398	10,193	13,398	Fall 1951
		3,246		13,397	10,151	13,397	Fall 1952
		3,447		13,470	10,023	13,470	Fall 1953
		3,360		13,945	10,585	13,945	Fall 1954
		3,576		15,053	11,477	15,053	Fall 1955
		3,967		16,030	12,063	16,030	Fall 1956
		4,279		16,081	11,802	16,081	Fall 1957
	151	4,781		16,488	11,556	16,488	Fall 1958
	199	5,079		16,669	11,391	16,669	Fall 1959
	217	5,339		17,331	11,775	17,331	Fall 1960
	190	5,985		18,874	12,699	18,874	Fall 1961
	235	6,582		20,189	13,372	20,189	Fall 1962
	277	7,280		21,890	14,333	21,890	Fall 1963
	241	7,899		23,724	15,584	23,724	Fall 1964
	547	8,517		25,676	16,612	25,676	Fall 1965
	588	8,823		26,898	17,487	26,898	Fall 1966
	645	9,669		29,070	18,756	29,070	Fall 1967
	709	9,588		28,992	18,695	28,992	Fall 1968
	777	10,338		30,657	19,542	30,657	Fall 1969
	792	10,119		28,939	18,028	28,939	Fall 1970
	891	9,472		27,935	17,572	27,935	Fall 1971
	1,021	9,654		29,641	18,966	29,641	Fall 1972
	1,297	9,683		31,086	20,106	31,086	Fall 1973
	1,301	9,902		31,961	20,758	31,961	Fall 1974
	1,423	10,253		33,236	21,560	33,236	Fall 1975
	1,522	10,122		32,131	20,487	32,131	Fall 1976
	1,595	9,890		31,623	20,138	31,623	Fall 1977
	1,650	9,881		31,709	20,178	31,709	Fall 1978
	1,677	10,211		32,970	21,082	32,970	Fall 1979
	1,745	10,274		34,023	22,004	34,023	Fall 1980
	1,704	10,296		34,609	22,609	34,609	Fall 1981
	1,685	9,950		34,568	22,933	34,568	Fall 1982
	1,705	9,915		34,754	23,134	34,754	Fall 1983
	1,658	9,952		34,503	22,893	34,503	Fall 1984
	1,632	9,845		34,378	22,901	34,378	Fall 1985
	1,621	10,051		34,423	22,751	34,423	Fall 1986
	1,601	10,333		35,435	23,501	35,435	Fall 1987
	1,567	10,280	60	35,730	23,823	35,730	Fall 1988
	1,574	10,472	48	36,378	24,284	36,378	Fall 1989
	1,576	10,549	95	36,427	24,207	36,427	Fall 1990
	1,579	10,361	58	36,366	24,368	36,366	Fall 1991
	1,581	10,109	68	35,407	23,649	35,407	Fall 1992
	1,581	9,974		34,447	22,892	34,447	Fall 1993
	1,577	9,914		35,110	23,619	35,110	Fall 1994
	1,642	9,302		34,713	23,769	34,713	Fall 1995
658	1,677	9,344		34,935	23,914	35,593	Fall 1996
666	1,666	9,301		34,892	23,925	35,558	Fall 1997
705	1,691	9,297		35,091	24,103	35,796	Fall 1998
720	1,676	9,287		35,631	24,668	36,351	Fall 1999
766	1,680	9,433		36,124	25,011	36,890	Fall 2000
825	1,687	9,654		36,669	25,328	37,494	Fall 2001
897	1,687	10,116		36,702	24,899	37,599	Fall 2002
920	1,543	10,420		37,678	25,715	38,598	Fall 2003
946	1,597	10,074		36,617	24,946	37,563	Fall 2004
997	1,596	9,817		36,224	24,811	37,221	Fall 2005
1,086	1,607	10,093		37,132	25,432	38,218	Fall 2006
1,237	1,420	10,311		37,659	25,928	38,896	Fall 2007
1,405	1,430	10,279		38,245	26,536	39,650	Fall 2008
1,556	1,434	10,307		38,428	26,687	39,984	Fall 2009
1,617	1,436	10,378		37,976	26,162	39,593	Fall 2010
1,644	1,404	10,428		39,031	27,199	40,675	Fall 2011
1,658	1,396	10,346		39,683	27,941	41,341	Fall 2012
1,756	1,395	10,365		40,434	28,674	42,190	Fall 2013
2,602	1,394	9,610		40,637	29,633	43,239	Fall 2014
